SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-25-2018,Single Family Residential,4610 145th Place SE,Snohomish,WA,98296,800000,4,2.5,Mill Creek,3579,8712,2005,122,224,,Sold,,,http://www.redfin.com/WA/Snohomish/4610-145th-Pl-SE-98296/home/2899805,NWMLS,1338807,N,Y,47.865356,-122.170805
PAST SALE,August-13-2018,Single Family Residential,17325 24th Ave SE,Bothell,WA,98012,515000,4,1.75,Mays Pond,1487,7405,1970,165,346,26,Sold,,,http://www.redfin.com/WA/Bothell/17325-24th-Ave-SE-98012/home/2677535,NWMLS,1316536,N,Y,47.840269,-122.1999521
PAST SALE,August-28-2018,Single Family Residential,20314 97th Ave NE,Bothell,WA,98011,600000,3,2.25,Canyon Park,1650,10260,1977,150,364,,Sold,,,http://www.redfin.com/WA/Bothell/20314-97th-Ave-NE-98011/home/286416,NWMLS,1331436,N,Y,47.7757066,-122.211138
PAST SALE,December-12-2018,Single Family Residential,314 182nd St SE,Bothell,WA,98012,738000,4,3.0,North Bothell,3130,4792,2017,44,236,20,Sold,,,http://www.redfin.com/WA/Bothell/314-182nd-St-SE-98012/home/143846873,NWMLS,1363217,N,Y,47.8326308,-122.2230857
PAST SALE,November-16-2018,Single Family Residential,18025 28th Dr SE,Bothell,WA,98012,535000,4,2.5,North Bothell,1827,5000,2002,70,293,58,Sold,,,http://www.redfin.com/WA/Bothell/18025-28th-Dr-SE-98012/unit-6/home/2896012,NWMLS,1343073,N,Y,47.8336989,-122.1943852
PAST SALE,November-14-2018,Condo/Co-op,14915 38th Dr SE #1113,Bothell,WA,98012,315000,2,2.5,Mill Creek,1114,399159,2006,72,283,240,Sold,,,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-1113/home/11883715,NWMLS,1362847,N,Y,47.8625823,-122.1801939
PAST SALE,November-30-2018,Single Family Residential,3600 202nd Place SE,Bothell,WA,98012,650000,3,2.75,North Creek,2410,3485,2016,56,270,65,Sold,,,http://www.redfin.com/WA/Bothell/3600-S-202nd-Place-E-98012/home/105658741,NWMLS,1335327,N,Y,47.8144675,-122.1845227
PAST SALE,August-15-2018,Townhouse,18728 10th Ave SE #18,Bothell,WA,98012,510000,3,2.5,North Creek,1860,4000,2004,163,274,60,Sold,,,http://www.redfin.com/WA/Bothell/18728-10th-Ave-SE-98012/unit-18/home/2912907,NWMLS,1313091,N,Y,47.8279932,-122.2169141
PAST SALE,January-11-2019,Single Family Residential,23820 5th Ave W,Bothell,WA,98021,394950,3,1.5,Bothell,1232,11761,1967,14,321,,Sold,,,http://www.redfin.com/WA/Bothell/23820-5th-Ave-W-98021/home/2745210,NWMLS,1321341,N,Y,47.7818563,-122.2401039
PAST SALE,August-14-2018,Condo/Co-op,18930 Bothell Everett Hwy Unit A102,Bothell,WA,98012,290000,2,1.0,Thrashers Corner,887,,1998,164,327,361,Sold,,,http://www.redfin.com/WA/Bothell/18930-Bothell-Everett-Hwy-98012/unit-A102/home/12104291,NWMLS,1313038,N,Y,47.8252115,-122.2098446
